Car.PitchAcc,Car.PitchVel,Car.RollAcc,Car.RollVel,Car.YawAcc,Car.YawVel,Car.ax,Car.ay,Car.az,Car.v,Car.vx,Car.vy,Car.vz,Time
rad/s^2,rad/s,rad/s^2,rad/s,rad/s^2,rad/s,m/s^2,m/s^2,m/s^2,m/s,m/s,m/s,m/s,s
-0.001191575,-3.05E-06,-9.13E-08,-2.26E-11,-2.03E-08,-4.58E-11,-0.000371065,-7.79E-08,0.001461098,4.80E-08,4.71E-08,2.05E-11,-9.46E-09,0.001
0.000298075,-2.63E-06,-5.18E-07,-4.35E-09,-1.22E-08,-1.79E-10,-1.70E-05,4.24E-08,-5.10E-05,2.05E-07,-6.83E-08,2.99E-10,-1.93E-07,0.011
0.000177809,-3.20E-07,-4.32E-07,-9.14E-09,-3.73E-08,-4.68E-10,3.37E-06,7.09E-08,-2.43E-05,3.42E-07,-2.34E-07,8.26E-10,-2.50E-07,0.021
0.000116576,1.07E-06,-3.32E-07,-1.30E-08,-2.87E-08,-8.02E-10,1.87E-05,9.72E-08,-1.16E-05,3.20E-07,-1.69E-07,1.58E-09,-2.72E-07,0.031
8.42E-05,2.06E-06,-1.89E-07,-1.55E-08,-1.21E-08,-9.99E-10,2.79E-05,1.02E-07,-1.32E-05,3.16E-07,4.45E-08,2.51E-09,-3.13E-07,0.041
5.71E-05,2.75E-06,-1.22E-07,-1.70E-08,-2.76E-09,-1.06E-09,3.10E-05,1.01E-07,-1.58E-05,5.12E-07,3.25E-07,3.48E-09,-3.96E-07,0.051
3.42E-05,3.19E-06,-6.38E-08,-1.79E-08,3.26E-10,-1.07E-09,2.93E-05,9.59E-08,-1.86E-05,8.03E-07,6.16E-07,4.44E-09,-5.15E-07,0.061
1.49E-05,3.42E-06,-3.28E-08,-1.83E-08,2.69E-08,-9.70E-10,2.51E-05,8.27E-08,-2.07E-05,1.10E-06,8.79E-07,5.33E-09,-6.68E-07,0.071
-8.62E-07,3.48E-06,-2.92E-10,-1.85E-08,7.98E-09,-8.02E-10,1.87E-05,7.35E-08,-2.20E-05,1.38E-06,1.09E-06,6.10E-09,-8.48E-07,0.081
